index,subject,image
162,https://resource.swissartresearch.net/artwork/SFF_D_1131,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1131
163,https://resource.swissartresearch.net/artwork/SFF_D_1132.001,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1132.001
164,https://resource.swissartresearch.net/artwork/SFF_D_1132.002,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1132.002
165,https://resource.swissartresearch.net/artwork/SFF_D_1132.003,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1132.003
166,https://resource.swissartresearch.net/artwork/SFF_D_1132.004,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1132.004
167,https://resource.swissartresearch.net/artwork/SFF_D_1132.005,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1132.005
168,https://resource.swissartresearch.net/artwork/SFF_D_1132.006,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1132.006
169,https://resource.swissartresearch.net/artwork/SFF_D_1133,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1133
170,https://resource.swissartresearch.net/artwork/SFF_D_1134,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1134
171,https://resource.swissartresearch.net/artwork/SFF_D_1135,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1135
172,https://resource.swissartresearch.net/artwork/SFF_D_1136,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1136_b
173,https://resource.swissartresearch.net/artwork/SFF_D_1137,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1137
174,https://resource.swissartresearch.net/artwork/SFF_D_1138,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1138
175,https://resource.swissartresearch.net/artwork/SFF_D_1139,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1139_b
176,https://resource.swissartresearch.net/artwork/SFF_D_1140,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1140_b
177,https://resource.swissartresearch.net/artwork/SFF_D_1141,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1141
178,https://resource.swissartresearch.net/artwork/SFF_D_1142,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1142_b
179,https://resource.swissartresearch.net/artwork/SFF_D_1143,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1143_b
180,https://resource.swissartresearch.net/artwork/SFF_D_1144,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1144_b
181,https://resource.swissartresearch.net/artwork/SFF_D_1145,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1145_b
182,https://resource.swissartresearch.net/artwork/SFF_D_1146,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1146_b
183,https://resource.swissartresearch.net/artwork/SFF_D_1147,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1147
184,https://resource.swissartresearch.net/artwork/SFF_D_1148,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1148_b
185,https://resource.swissartresearch.net/artwork/SFF_D_1149,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1149_b
186,https://resource.swissartresearch.net/artwork/SFF_D_1150,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1150
187,https://resource.swissartresearch.net/artwork/SFF_D_1151,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1151
188,https://resource.swissartresearch.net/artwork/SFF_D_1152,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1152
189,https://resource.swissartresearch.net/artwork/SFF_D_1153,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1153
190,https://resource.swissartresearch.net/artwork/SFF_D_1154,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1154
191,https://resource.swissartresearch.net/artwork/SFF_D_1155,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1155
192,https://resource.swissartresearch.net/artwork/SFF_D_1156,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1156
193,https://resource.swissartresearch.net/artwork/SFF_D_1157,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1157
194,https://resource.swissartresearch.net/artwork/SFF_D_1158,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1158
195,https://resource.swissartresearch.net/artwork/SFF_D_1159,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1159_b
196,https://resource.swissartresearch.net/artwork/SFF_D_1160,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1160
197,https://resource.swissartresearch.net/artwork/SFF_D_1161,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1161_b
198,https://resource.swissartresearch.net/artwork/SFF_D_1162,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1162
